frame,time_s,x_pixel,y_pixel,confidence,source
133,2.8830,1677,669,0.0640,tracknet
134,2.9047,1677,669,0.0000,kalman
135,2.9264,1677,669,0.0000,kalman
136,2.9481,1677,669,0.0000,kalman
137,2.9697,1677,669,0.0000,kalman
138,2.9914,1429,869,0.0880,tracknet
139,3.0131,1383,899,0.2760,tracknet
140,3.0348,1329,946,0.6630,tracknet
141,3.0564,1269,1007,0.6590,tracknet
142,3.0781,1209,1084,0.6340,tracknet
143,3.0998,1474,839,0.0000,kalman
144,3.1215,1447,862,0.0000,kalman
145,3.1431,1419,885,0.0000,kalman
146,3.1648,1392,908,0.0000,kalman
147,3.1865,1365,931,0.0000,kalman
148,3.2082,1337,954,0.0000,kalman
149,3.2299,1310,978,0.0000,kalman
150,3.2515,1282,1001,0.0000,kalman
151,3.2732,1015,1084,0.6360,tracknet
152,3.2949,1076,1085,0.0000,kalman
153,3.3166,1036,1111,0.0000,kalman
154,3.3382,1042,892,0.7810,tracknet
155,3.3599,1042,876,0.1660,tracknet
156,3.3816,967,984,0.0000,kalman
157,3.4033,931,995,0.0000,kalman
158,3.4249,895,1006,0.0000,kalman
159,3.4466,859,1017,0.0000,kalman
160,3.4683,823,1028,0.0000,kalman
